"Tue Jun 27 2017 09:25:49 GMT-0400 (EDT)",2380.74,,2331.78,
"Tue Jun 27 2017 09:35:50 GMT-0400 (EDT)",2376.82,,2328.63,
"Tue Jun 27 2017 09:45:52 GMT-0400 (EDT)",2354.39,,2307.74,
"Tue Jun 27 2017 09:55:49 GMT-0400 (EDT)",2344.77,,2293.59,
"Tue Jun 27 2017 10:05:48 GMT-0400 (EDT)",2339.81,,2292.91,
"Tue Jun 27 2017 10:15:48 GMT-0400 (EDT)",2298.83,,2253.3,
"Tue Jun 27 2017 10:25:29 GMT-0400 (EDT)",2314.62,,2269.85,
"Tue Jun 27 2017 10:35:54 GMT-0400 (EDT)",2328.99,,2277.13,
"Tue Jun 27 2017 10:45:40 GMT-0400 (EDT)",2342.36,,2295.96,
"Tue Jun 27 2017 10:55:47 GMT-0400 (EDT)",2347.2,,2293.81,
"Tue Jun 27 2017 11:05:45 GMT-0400 (EDT)",2313.23,,2265.3,
"Tue Jun 27 2017 11:15:46 GMT-0400 (EDT)",2324.53,,2277.21,
"Tue Jun 27 2017 11:25:39 GMT-0400 (EDT)",2316.89,,2269.81,
"Tue Jun 27 2017 11:36:05 GMT-0400 (EDT)",2324.77,,2274.05,
"Tue Jun 27 2017 11:45:40 GMT-0400 (EDT)",2335.16,,2288.91,
"Tue Jun 27 2017 11:55:51 GMT-0400 (EDT)",2337.95,,2288.45,
"Tue Jun 27 2017 12:05:40 GMT-0400 (EDT)",2343.81,,2294.3,
"Tue Jun 27 2017 12:15:49 GMT-0400 (EDT)",2340.39,,2293.89,
"Tue Jun 27 2017 12:26:05 GMT-0400 (EDT)",2323.04,,2274.67,
"Tue Jun 27 2017 12:36:02 GMT-0400 (EDT)",2318.58,,2268.12,
"Tue Jun 27 2017 12:45:41 GMT-0400 (EDT)",2294.45,,2247.04,
"Tue Jun 27 2017 12:55:41 GMT-0400 (EDT)",2328.12,,2278.82,
"Tue Jun 27 2017 13:05:43 GMT-0400 (EDT)",2317.29,,2268.68,
"Tue Jun 27 2017 13:15:52 GMT-0400 (EDT)",2321.95,,2272.86,
"Tue Jun 27 2017 13:25:47 GMT-0400 (EDT)",2314.54,,2265.36,
"Tue Jun 27 2017 13:35:48 GMT-0400 (EDT)",2322.43,,2276.37,
"Tue Jun 27 2017 13:45:47 GMT-0400 (EDT)",2331.38,,2289.5,
"Tue Jun 27 2017 13:55:37 GMT-0400 (EDT)",2357.07,,2310.32,
"Tue Jun 27 2017 14:05:40 GMT-0400 (EDT)",2369.81,,2319.39,
"Tue Jun 27 2017 14:15:35 GMT-0400 (EDT)",2349.25,,2298.86,
"Tue Jun 27 2017 14:25:42 GMT-0400 (EDT)",2363.52,,2316.57,
"Tue Jun 27 2017 14:35:45 GMT-0400 (EDT)",2380.82,,2328.68,
"Tue Jun 27 2017 14:45:39 GMT-0400 (EDT)",2390.55,,2337.6,
"Tue Jun 27 2017 14:55:22 GMT-0400 (EDT)",2387.7,,2340.41,
"Tue Jun 27 2017 15:05:45 GMT-0400 (EDT)",2404.46,,2354.71,
"Tue Jun 27 2017 15:15:55 GMT-0400 (EDT)",2408.26,,2358.97,
"Tue Jun 27 2017 15:25:34 GMT-0400 (EDT)",2410.47,,2366.03,
"Tue Jun 27 2017 15:35:33 GMT-0400 (EDT)",2424.06,,2376.05,
"Tue Jun 27 2017 15:45:53 GMT-0400 (EDT)",2412.89,,2365.48,
"Tue Jun 27 2017 15:55:32 GMT-0400 (EDT)",2443.03,,2390.49,
"Tue Jun 27 2017 16:05:33 GMT-0400 (EDT)",2436.96,,2386.42,
"Tue Jun 27 2017 16:15:42 GMT-0400 (EDT)",2469.5,,2419.94,
"Tue Jun 27 2017 16:25:44 GMT-0400 (EDT)",2447.03,,2395.86,
"Tue Jun 27 2017 16:35:26 GMT-0400 (EDT)",2462.34,,2413.56,
"Tue Jun 27 2017 16:45:47 GMT-0400 (EDT)",2469.5,,2422.56,
"Tue Jun 27 2017 16:55:49 GMT-0400 (EDT)",2495.38,,2445.86,
"Tue Jun 27 2017 17:05:26 GMT-0400 (EDT)",2479.14,,2429.55,
"Tue Jun 27 2017 17:15:48 GMT-0400 (EDT)",2473.01,,2417.95,
"Tue Jun 27 2017 17:25:20 GMT-0400 (EDT)",2482.24,,2432.25,
"Tue Jun 27 2017 17:35:44 GMT-0400 (EDT)",2455.5,,2407.6,
"Tue Jun 27 2017 17:45:26 GMT-0400 (EDT)",2474.65,,2425.78,
"Tue Jun 27 2017 17:55:49 GMT-0400 (EDT)",2470.73,,2421.8,
"Tue Jun 27 2017 18:05:34 GMT-0400 (EDT)",2475.66,,2422.87,
"Tue Jun 27 2017 18:15:29 GMT-0400 (EDT)",2482.14,,2429.35,
"Tue Jun 27 2017 18:25:39 GMT-0400 (EDT)",2509.31,,2458.25,
"Tue Jun 27 2017 18:35:40 GMT-0400 (EDT)",2525.04,,2475.03,
"Tue Jun 27 2017 18:45:31 GMT-0400 (EDT)",2516.92,,2465.57,
"Tue Jun 27 2017 18:55:50 GMT-0400 (EDT)",2525.31,,2475.3,
"Tue Jun 27 2017 19:05:33 GMT-0400 (EDT)",2541.15,,2492.7,
"Tue Jun 27 2017 19:15:42 GMT-0400 (EDT)",2505.71,,2456.09,
"Tue Jun 27 2017 19:25:32 GMT-0400 (EDT)",2530.13,,2478.56,
"Tue Jun 27 2017 19:35:49 GMT-0400 (EDT)",2549.94,,2497.22,
"Tue Jun 27 2017 19:45:20 GMT-0400 (EDT)",2547.1,,2494.99,
"Tue Jun 27 2017 19:55:39 GMT-0400 (EDT)",2587.28,,2534.45,
"Tue Jun 27 2017 20:05:33 GMT-0400 (EDT)",2570.98,,2510.84,
"Tue Jun 27 2017 20:15:42 GMT-0400 (EDT)",2580.47,,2527.74,
"Tue Jun 27 2017 20:25:37 GMT-0400 (EDT)",2569.74,,2517.58,
"Tue Jun 27 2017 20:35:40 GMT-0400 (EDT)",2565.45,,2512.32,
"Tue Jun 27 2017 20:45:38 GMT-0400 (EDT)",2554.34,,2502.13,
"Tue Jun 27 2017 20:55:36 GMT-0400 (EDT)",2550.19,,2499.51,
"Tue Jun 27 2017 21:05:50 GMT-0400 (EDT)",2532.42,,2479.03,
"Tue Jun 27 2017 21:15:52 GMT-0400 (EDT)",2548.93,,2497.02,
"Tue Jun 27 2017 21:25:53 GMT-0400 (EDT)",2530.47,,2476.45,
"Tue Jun 27 2017 21:35:35 GMT-0400 (EDT)",2513.49,,2456.38,
"Tue Jun 27 2017 21:45:43 GMT-0400 (EDT)",2506.82,,2455.5,
"Tue Jun 27 2017 21:55:34 GMT-0400 (EDT)",2482.81,,2433.23,
"Tue Jun 27 2017 22:05:56 GMT-0400 (EDT)",2516.35,,2465.26,
"Tue Jun 27 2017 22:15:19 GMT-0400 (EDT)",2527.68,,2467.33,
"Tue Jun 27 2017 22:25:43 GMT-0400 (EDT)",2512.05,,2462.28,
"Tue Jun 27 2017 22:35:47 GMT-0400 (EDT)",2514.13,,2458.93,
"Tue Jun 27 2017 22:45:41 GMT-0400 (EDT)",2508.68,,2457.57,
"Tue Jun 27 2017 22:55:31 GMT-0400 (EDT)",2498.49,,2444.38,
"Tue Jun 27 2017 23:05:49 GMT-0400 (EDT)",2504.75,,2452.4,
"Tue Jun 27 2017 23:15:46 GMT-0400 (EDT)",2524.06,,2470.49,
"Tue Jun 27 2017 23:25:30 GMT-0400 (EDT)",2548.43,,2498.62,
"Tue Jun 27 2017 23:35:39 GMT-0400 (EDT)",2547.58,,2493.95,
"Tue Jun 27 2017 23:45:44 GMT-0400 (EDT)",2549.09,,2498.12,
"Tue Jun 27 2017 23:55:32 GMT-0400 (EDT)",2567.51,,2515.75,
"Wed Jun 28 2017 00:05:41 GMT-0400 (EDT)",2561.84,,2509.72,
"Wed Jun 28 2017 00:15:25 GMT-0400 (EDT)",2553.16,,2500.46,
"Wed Jun 28 2017 00:25:45 GMT-0400 (EDT)",2544.82,,2489.5,
"Wed Jun 28 2017 00:35:46 GMT-0400 (EDT)",2553.27,,2502.66,
"Wed Jun 28 2017 00:45:34 GMT-0400 (EDT)",2531.98,,2478.73,
"Wed Jun 28 2017 00:55:20 GMT-0400 (EDT)",2525.06,,2471.11,
"Wed Jun 28 2017 01:05:41 GMT-0400 (EDT)",2514.97,,2465.16,
"Wed Jun 28 2017 01:15:43 GMT-0400 (EDT)",2508.19,,2456.28,
"Wed Jun 28 2017 01:25:36 GMT-0400 (EDT)",2504.87,,2455.26,
"Wed Jun 28 2017 01:35:41 GMT-0400 (EDT)",2506.79,,2456.55,
"Wed Jun 28 2017 01:45:20 GMT-0400 (EDT)",2516.68,,2464.44,
"Wed Jun 28 2017 01:55:30 GMT-0400 (EDT)",2523.21,,2468.9,
"Wed Jun 28 2017 02:05:42 GMT-0400 (EDT)",2518.36,,2467.74,
"Wed Jun 28 2017 02:15:29 GMT-0400 (EDT)",2517.62,,2467.14,
"Wed Jun 28 2017 02:25:35 GMT-0400 (EDT)",2515.05,,2465.24,
"Wed Jun 28 2017 02:35:45 GMT-0400 (EDT)",2522.16,,2466.92,
"Wed Jun 28 2017 02:45:41 GMT-0400 (EDT)",2523.45,,2468.92,
"Wed Jun 28 2017 02:55:46 GMT-0400 (EDT)",2513.06,,2461.63,
"Wed Jun 28 2017 03:05:25 GMT-0400 (EDT)",2524.43,,2474.52,
"Wed Jun 28 2017 03:15:20 GMT-0400 (EDT)",2536.42,,2483.92,
"Wed Jun 28 2017 03:25:37 GMT-0400 (EDT)",2537.38,,2485.81,
"Wed Jun 28 2017 03:35:44 GMT-0400 (EDT)",2532.36,,2482.22,
"Wed Jun 28 2017 03:45:30 GMT-0400 (EDT)",2531.29,,2480.95,
"Wed Jun 28 2017 03:55:29 GMT-0400 (EDT)",2539.92,,2489.62,
"Wed Jun 28 2017 04:05:34 GMT-0400 (EDT)",2543.38,,2492.05,
"Wed Jun 28 2017 04:15:40 GMT-0400 (EDT)",2545.23,,2494.54,
"Wed Jun 28 2017 04:25:45 GMT-0400 (EDT)",2542.54,,2482.49,
"Wed Jun 28 2017 04:35:25 GMT-0400 (EDT)",2522.48,,2474.07,
"Wed Jun 28 2017 04:45:39 GMT-0400 (EDT)",2503.97,,2452.13,
"Wed Jun 28 2017 04:55:39 GMT-0400 (EDT)",2515.88,,2466.26,
"Wed Jun 28 2017 05:05:25 GMT-0400 (EDT)",2513.54,,2463.22,
"Wed Jun 28 2017 05:15:22 GMT-0400 (EDT)",2516.72,,2466.87,
"Wed Jun 28 2017 05:25:24 GMT-0400 (EDT)",2537.71,,2476.72,
"Wed Jun 28 2017 05:35:23 GMT-0400 (EDT)",2539.17,,2484.29,
"Wed Jun 28 2017 05:45:33 GMT-0400 (EDT)",2544.27,,2493.87,
"Wed Jun 28 2017 05:55:47 GMT-0400 (EDT)",2540.63,,2488.93,
"Wed Jun 28 2017 06:05:54 GMT-0400 (EDT)",2549.3,,2497.91,
"Wed Jun 28 2017 06:15:47 GMT-0400 (EDT)",2557.1,,2506.95,
"Wed Jun 28 2017 06:25:39 GMT-0400 (EDT)",2554.7,,2503.12,
"Wed Jun 28 2017 06:35:50 GMT-0400 (EDT)",2555.19,,2504.05,
"Wed Jun 28 2017 06:45:43 GMT-0400 (EDT)",2544.85,,2492.95,
"Wed Jun 28 2017 06:55:43 GMT-0400 (EDT)",2537.79,,2487.53,
"Wed Jun 28 2017 07:05:31 GMT-0400 (EDT)",2536.35,,2489,
"Wed Jun 28 2017 07:15:39 GMT-0400 (EDT)",2535.23,,2484.05,
"Wed Jun 28 2017 07:25:32 GMT-0400 (EDT)",2542.89,,2490.35,
"Wed Jun 28 2017 07:35:47 GMT-0400 (EDT)",2551.2,,2498.91,
"Wed Jun 28 2017 07:45:22 GMT-0400 (EDT)",2553.53,,2501.7,
